fengyue_rscs_v1.0.1.2096.apk 2018-04-24 23:26:18 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2097.apk 2018-04-25 09:53:22 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2098.apk 2018-04-25 11:57:43 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2099.apk 2018-04-25 18:34:58 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2100.apk 2018-04-25 23:24:17 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2101.apk 2018-04-26 14:27:08 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2102.apk 2018-04-26 17:17:22 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2103.apk 2018-05-04 15:46:38 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2104.apk 2018-05-09 20:40:36 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2105.apk 2018-05-09 22:12:22 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2106.apk 2018-05-10 03:44:14 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2107.apk 2018-05-10 16:30:22 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2108.apk 2018-05-10 18:38:40 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
fengyue_rscs_v1.0.1.2109.apk 2018-05-10 20:23:55 [gameid:1 plat:0 风月-末日残响（内测版）, bundleId:com.fy.rycs.test, cdn:http://192.168.8.68/mgameres/renyu/, target:23]
com.fy.mrbj.test.v1.0.2.2443.apk 2018-05-16 17:38:46 [gameid:2604 plat:18 紫云-渠道测试包-末日扳机-测试包, bundleId:com.fy.mrbj.test, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_renyu/, target:21]
com.fy.mrbj.quick.v1.0.2.2444.apk 2018-05-17 11:46:48 [gameid:2605 plat:18 紫云-quick-末日扳机, bundleId:com.fy.mrbj.quick, cdn:http://xycdn.xiyouwebgame.com/twfy/misc/ziyun_renyu/, target:19]
